"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TATAMOTORS","EQ","02-Apr-2018","        326.85","        335.00","        340.80","        332.70","        340.40","        339.15","        336.42","    9874486","          3321929388.20","      87501","    3755688","         38.03"
"TATAMOTORS","EQ","03-Apr-2018","        339.15","        338.40","        344.50","        337.15","        342.45","        343.10","        342.11","    6989584","          2391198986.10","      81593","    2321216","         33.21"
"TATAMOTORS","EQ","04-Apr-2018","        343.10","        346.80","        363.70","        346.25","        354.80","        355.60","        358.29","   27157199","          9730031285.75","     243264","    5910308","         21.76"
"TATAMOTORS","EQ","05-Apr-2018","        355.60","        362.60","        372.35","        359.80","        362.00","        362.20","        366.90","   28886070","         10598314945.20","     169067","    9601766","         33.24"
"TATAMOTORS","EQ","06-Apr-2018","        362.20","        362.00","        368.35","        356.45","        363.40","        364.10","        363.14","   13297051","          4828723402.10","     109844","    3134935","         23.58"
"TATAMOTORS","EQ","09-Apr-2018","        364.10","        361.90","        368.60","        357.00","        358.25","        358.30","        361.30","    9555113","          3452254847.35","      87454","    3399496","         35.58"
"TATAMOTORS","EQ","10-Apr-2018","        358.30","        360.50","        362.35","        351.50","        353.45","        353.25","        355.17","    8201215","          2912843629.60","      85954","    3281980","         40.02"
"TATAMOTORS","EQ","11-Apr-2018","        353.25","        355.00","        357.15","        350.50","        355.30","        355.80","        354.01","    5622957","          1990601953.25","      53355","    1415001","         25.16"
"TATAMOTORS","EQ","12-Apr-2018","        355.80","        358.00","        364.40","        357.00","        358.55","        358.40","        360.01","   13145938","          4732716743.45","      89462","    4498065","         34.22"
"TATAMOTORS","EQ","13-Apr-2018","        358.40","        357.90","        361.00","        354.40","        356.10","        357.05","        357.29","    5935628","          2120770158.50","      61727","    1500369","         25.28"
"TATAMOTORS","EQ","16-Apr-2018","        357.05","        350.80","        352.80","        337.55","        340.00","        339.15","        342.36","   19157051","          6558671675.10","     213724","    7977435","         41.64"
"TATAMOTORS","EQ","17-Apr-2018","        339.15","        342.30","        344.20","        332.60","        336.70","        336.45","        337.47","   14241074","          4805990321.60","     149758","    6135055","         43.08"
"TATAMOTORS","EQ","18-Apr-2018","        336.45","        338.20","        339.75","        333.40","        335.30","        334.80","        336.81","    6699271","          2256371368.05","      64651","    2548755","         38.05"
"TATAMOTORS","EQ","19-Apr-2018","        334.80","        336.50","        337.00","        332.50","        335.00","        334.25","        334.57","    7087115","          2371129885.80","      78546","    3736727","         52.73"
