"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TATAMOTORS","EQ","05-Apr-2021","        307.75","        306.80","        311.70","        297.20","        305.50","        305.05","        304.12","   66178755","         20126169223.85","     346981","    5081702","          7.68"
"TATAMOTORS","EQ","06-Apr-2021","        305.05","        306.15","        313.80","        304.80","        308.00","        307.75","        309.29","   63031783","         19495030379.85","     313806","    7675387","         12.18"
"TATAMOTORS","EQ","07-Apr-2021","        307.75","        306.75","        310.65","        305.10","        307.65","        307.80","        308.53","   39073986","         12055353692.30","     194930","    4952057","         12.67"
"TATAMOTORS","EQ","08-Apr-2021","        307.80","        307.90","        319.80","        307.50","        314.00","        313.95","        315.34","   62459774","         19696335826.85","     329382","    9456962","         15.14"
"TATAMOTORS","EQ","09-Apr-2021","        313.95","        313.20","        325.00","        312.50","        317.55","        318.20","        320.77","   75462572","         24205900606.15","     412742","    8649296","         11.46"
"TATAMOTORS","EQ","12-Apr-2021","        318.20","        307.85","        307.85","        282.90","        287.50","        286.55","        292.83","  105342538","         30847255981.55","     687082","   20366565","         19.33"
"TATAMOTORS","EQ","13-Apr-2021","        286.55","        287.25","        304.55","        280.55","        302.00","        302.85","        293.11","  116874853","         34256650888.30","     571436","    8020613","          6.86"
"TATAMOTORS","EQ","15-Apr-2021","        302.85","        303.00","        307.55","        296.50","        302.20","        303.50","        301.87","   75262749","         22719453457.45","     397148","    7009105","          9.31"
"TATAMOTORS","EQ","16-Apr-2021","        303.50","        302.00","        315.00","        300.15","        308.75","        310.00","        310.71","   75330709","         23406077563.15","     408104","    8967594","         11.90"
"TATAMOTORS","EQ","19-Apr-2021","        310.00","        295.00","        304.50","        292.80","        301.70","        301.40","        299.92","   65791784","         19732092260.55","     368946","    6807491","         10.35"
"TATAMOTORS","EQ","20-Apr-2021","        301.40","        307.70","        308.15","        294.20","        297.40","        298.05","        301.99","   56740291","         17134933991.60","     293573","    6928884","         12.21"
"TATAMOTORS","EQ","22-Apr-2021","        298.05","        294.00","        302.50","        292.20","        294.50","        294.55","        296.94","   61022978","         18120454264.15","     324395","    6645492","         10.89"
"TATAMOTORS","EQ","23-Apr-2021","        294.55","        291.00","        300.00","        290.50","        293.20","        294.00","        295.04","   58158986","         17159078149.65","     301111","    5596892","          9.62"
"TATAMOTORS","EQ","26-Apr-2021","        294.00","        297.00","        299.00","        294.60","        295.85","        295.40","        296.48","   30583139","          9067386454.95","     173282","    3291167","         10.76"
"TATAMOTORS","EQ","27-Apr-2021","        295.40","        295.70","        302.50","        295.10","        302.10","        301.50","        299.05","   35040532","         10478793142.15","     191627","    5215100","         14.88"
"TATAMOTORS","EQ","28-Apr-2021","        301.50","        303.50","        309.50","        303.00","        305.15","        305.90","        307.22","   44668126","         13722777839.30","     264159","    5116568","         11.45"
"TATAMOTORS","EQ","29-Apr-2021","        305.90","        308.90","        310.00","        301.25","        302.20","        301.90","        304.77","   36647292","         11168997900.30","     186996","    4193346","         11.44"
