"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TATAMOTORS","EQ","03-Apr-2020","         67.95","         66.90","         66.90","         64.80","         65.45","         65.30","         65.50","   35346490","          2315141908.30","     161810","    8319686","         23.54"
"TATAMOTORS","EQ","07-Apr-2020","         65.30","         68.55","         69.30","         66.90","         67.20","         67.25","         67.81","   42070735","          2852689753.50","     149087","   13029766","         30.97"
"TATAMOTORS","EQ","08-Apr-2020","         67.25","         66.50","         71.60","         65.40","         67.75","         67.60","         68.76","   82182403","          5651185283.15","     248580","   14804513","         18.01"
"TATAMOTORS","EQ","09-Apr-2020","         67.60","         69.60","         76.25","         69.10","         74.50","         74.60","         73.81","  112680750","          8317423006.45","     350425","   15404378","         13.67"
"TATAMOTORS","EQ","13-Apr-2020","         74.60","         76.00","         77.60","         72.70","         74.50","         74.25","         74.47","   70414018","          5243381173.05","     256322","    9433794","         13.40"
"TATAMOTORS","EQ","15-Apr-2020","         74.25","         75.40","         78.70","         71.95","         73.10","         72.90","         75.43","   81126343","          6119055679.55","     277572","   14858676","         18.32"
"TATAMOTORS","EQ","16-Apr-2020","         72.90","         71.75","         75.40","         71.00","         75.10","         74.65","         73.69","   47910556","          3530429563.40","     152202","    5852162","         12.21"
"TATAMOTORS","EQ","17-Apr-2020","         74.65","         78.30","         78.30","         74.70","         76.85","         76.85","         76.11","   58336227","          4440093616.10","     186796","    9584419","         16.43"
"TATAMOTORS","EQ","20-Apr-2020","         76.85","         76.85","         83.40","         75.50","         80.10","         80.45","         80.94","  125427754","         10152471072.75","     400016","   14631225","         11.67"
"TATAMOTORS","EQ","21-Apr-2020","         80.45","         78.00","         78.00","         74.00","         74.45","         74.65","         75.47","   58249560","          4396212525.25","     223568","   13973828","         23.99"
"TATAMOTORS","EQ","22-Apr-2020","         74.65","         74.45","         76.55","         72.55","         76.15","         75.90","         74.34","   56529909","          4202665230.00","     183754","    7635802","         13.51"
